Date dd/mm/yyyy,Startup Name,Industry Vertical,Location,Investors Name,InvestmentnType,Amount in USD
07/08/2018,ShopX,Consumer Internet,Bengaluru,Fung Strategic Holdings,Private Equity,17.37085861945369
07/08/2018,MakeMyTrip,Consumer Internet,Gurugram,MakeMyTrip Limited,Private Equity,16.11809565095832
08/08/2018,Hansel io,Consumer Internet,Bengaluru,Vertex Ventures,Seed/ Angel Funding,15.201804919084164
08/08/2018,Metro Bikes,Consumer Internet,Bengaluru,"Sequoia Capital India Advisors, Accel Partners and G Raghunandan",Private Equity,16.316946509703484
08/08/2018,Phone Pe,Consumer Internet,Bengaluru,Flipkart,Private Equity,18.0051652999907
09/08/2018,quizizz,Ed-Tech,Bengaluru,"Nexus Venture Partners, Prime Venture Partners and Others",Seed/ Angel Funding,14.914122846632385
09/08/2018,Happy EMI,Fin-Tech,Bengaluru,AJ Ventures and Jain International Trade Organisation (JITO),Seed/ Angel Funding,13.815510557964274
13/08/2018,Inthree,Consumer Internet,Chennai,"Ventureast, Orios Venture Partners and the IAN Fund",Seed/ Angel Funding,15.201804919084164
13/08/2018,Observe AI,Technology,Bengaluru,"Nexus Venture Partners, MGV, Liquid 2 Ventures, Hack VC, Emergent Ventures and Y Combinator",Private Equity,15.89495209964411
16/08/2018,Enakshi,Consumer Internet,Ahmedabad,Unknown,Seed/ Angel Funding,11.651042577092605
17/08/2018,EazyDiner,Consumer Internet,Gurugram,Denlow Investment Trust and Beenext,Private Equity,15.58195221920804
20/08/2018,Finzy,Finance,Bengaluru,Unknown,Seed / Angel Funding,13.815510557964274
20/08/2018,RawPressery,Consumer Internet,Mumbai,Alteria Capital,Debt Funding,15.38412647587812
22/08/2018,Pi Ventures,Technology,Bengaluru,CDC Group plc\\xc2\\xa0,Private Equity,15.60727002719233
22/08/2018,Revv,Consumer Internet,Gurugram,"Hyundai, Edelweiss and Beenext, Dream Incubator, Sunjay Kapoor and Telama Investment",Private Equity,16.47366998945302
26/08/2018,ZestMoney,Consumer Internet,Bengaluru,"Xiaomi,PayU, Ribbit Capital and Omidyar Network",Private Equity,16.41076526492114
26/08/2018,Shubh Loans,Fin-Tech,Bengaluru,"Saama Capital, SRI Capital, Beenext, and Pravega Ventures",Private Equity,15.250595083253597
27/08/2018,MyUpchar,Healthcare,Delhi,"Nexus Venture Partners, Omidyar Network and Shunwei Capital",Private Equity,15.424948470398375
28/08/2018,Narvar,IT,Bengaluru,Accel (formerly known as Accel Partners),Private Equity,14.914122846632385
30/08/2018,True North,Finance,Mumbai,Unknown,Private Equity,20.21244021318042
01/07/2018,Leena AI,Technology,Gurugram,Y Combinator,Seed/ Angel Funding,0.0
02/07/2018,Biryani By Kilo,Consumer Internet,Gurugram,Ajay Relan and Vinay Mittal,Seed/ Angel Funding,13.815510557964274
04/07/2018,Anchanto,IT,Pune,MDI Ventures & Telkom Indonesia,Private Equity,15.201804919084164
05/072018,Loan Tap,Consumer Internet,Mumbai,"Shunwei Capital, Tuscan Ventures, Ashish Goenka, VC firms India Quotient and Kae Capital",Private Equity,15.648092021712584
06/07/2018,PolicyBazaar,Consumer Internet,Gurugram,Info Edge (India) Ltd and Temasek,Private Equity,17.136942971157566
09/07/2018,zippserv,Consumer Internet,Bengaluru,Info Edge (India) Ltd,Seed/ Angel Funding,12.994530005894443
09/07/2018,Groww,Consumer Internet,Bengaluru,"Insignia Ventures Partners, Lightbridge Partners & Kairos",Seed/ Angel Funding,13.9108207377686
10/07/2018,Avenue Growth,Consumer Internet,Gurugram,"Avtar Monga, chief operating office at IDFC Bank, Aditya Malik & Others",Seed/ Angel Funding,12.987688474077727
10/07/2018,iNICU,Healthcare,Delhi,Venture Catalysts,Seed/ Angel Funding,0.0
10/07/2018,Kinara Capital,Finance,Bengaluru,ResponsAbility,Private Equity,15.424948470398375
10/07/2018,Shop 101,Consumer Internet,Mumbai,"Stellaris Venture Partners, Vy Capital, Raghunandan G, and Ramakant Sharma",Private Equity,15.424948470398375
11/07/2018,Sambandh,Consumer Internet,Rourkela,Base of Pyramid Asia (BOPA) Pte Ltd,Private Equity,14.73180128983843
12/07/2018,19th mile,IT,Gurugram,"Rishi Vasudev, Excelsior Investments, Ritesh Vohra, Praveer Kumar, Prashant Gupta and Others",Seed/ Angel Funding,12.100712129872347
12/07/2018,5th Vital,Healthcare,Bengaluru,Brand Capital and Others,Seed/ Angel Funding,13.122363377404328
13/07/2018,MEngage,Healthcare,Jaipur,"Siddharth Agarwal, Mahavir Sharma, Amit Singal, 100 Co-founders Lab and others.",Seed/ Angel Funding,12.072541252905651
17/07/2018,Ofbusiness,Finance,Gurugram,"Creation Investments, Falcon Edge, Matrix Partners India and Zodius Capital",Private Equity,17.182806387950748
17/07/2018,Cars24,Consumer Internet,Gurugram,"Kingsway FCI Fund, KCK Global & Others",Private Equity,17.721515491066857
18/07/2018,The Ken,Consumer Internet,Bengaluru,Omidyar Network & Others,Seed/ Angel Funding,14.22097566607244
19/07/2018,Book My Show,Consumer Internet,Mumbai,"TPG Growth, The Rise Fund & Others",Private Equity,18.420680743952367
20/07/2018,HousingMan,Consumer Internet,Bengaluru,Unknown,Seed/ Angel Funding,14.22097566607244
21/07/2018,PaySense,Consumer Internet,Mumbai,PayU & Others,Private Equity,16.70588231586044
23/07/2018,Yulu Bikes,Technology,Bengaluru,Unknown,Seed/ Angel Funding,0.0
23/07/2018,VTION,Technology,Gurugram,"AngelList, Rahul Khanna, Rajeev Arora and Ram Ramsundar.",Seed/ Angel Funding,12.542544882151386
23/07/2018,Log9 Materials,Technology,Bengaluru,"Metaform Ventures, Hemant Luthra, Micro venture capital firm GEMS Partners and Others",Seed/ Angel Funding,12.985397522331171
24/07/2018,kidovators,Ed-Tech,Bengaluru,Gray Matters,Seed/ Angel Funding,12.100712129872347
24/07/2018,Digit,Consumer Internet,Pune,Fairfax,Private Equity,17.622173047734595
25/07/2018,Black Soil,Finance,Mumbai,"Allcargo Logistics, Navneet Education and Mahavir Agency",Private Equity,16.64872390202049
25/07/2018,Trell,Consumer Internet,Bengaluru,"BeeNext , WEH Ventures and Sprout Ventures",Seed/ Angel Funding,14.038654109278484
25/07/2018,iqlect,Technology,Bengaluru,Ventureast and Exfinity,Seed/ Angel Funding,14.73180128983843
26/07/2018,Entropik,IT,Bengaluru,"Bharat Innovation, IDFC-Parampara Capital, Arthavida Ventures, Jitendra Gupta & Others",Seed/ Angel Funding,13.9108207377686
26/07/2018,Bitla Software,Technology,Bengaluru,MakeMyTrip,Private Equity,0.0
26/07/2018,TheCapitalNet,Fin-Tech,Hyderabad,Lindwall Family Investments LLC (LFI),Private Equity,13.122363377404328
30/07/2018,Shuttl,Consumer Internet,Gurugram,Amazon Alexa Fund & Dentsu Ventures,Private Equity,16.213405830762646
30/07/2018,Cure Fit,Consumer Internet,Bengaluru,"IDG Ventures, Accel Partners, Kalaari Capital and Others",Private Equity,18.60300230074632
31/07/2018,Five Star Group,Fin-Tech,Chennai,"TPG, Norwest Venture Partners, Sequoia Capital & Matrix Partners",Private Equity,18.420680743952367
31/07/2018,Healthsignz,Healthcare,Hyderabad,Kantilal Patel,Seed/ Angel Funding,15.424948470398375
01/06/2018,CoinTribe,Finance,Gurugram,"Sabre Partners, Puneet Dalmia & Others",Private Equity,16.11809565095832
04/06/2018,Digiconectt,Technology,Bengaluru,Aspire Logistics LLC,Seed/ Angel Funding,11.736069016284437
04/06/2018,Kashmir Box,E-Commerce,Srinagar,"Bhairavi Jani, Alok Divatia, Namrata Kaul, Sohail Hashemi, Aijaz Saleem",Seed/ Angel Funding,0.0
05/06/2018,Crowdera,Finance,Nagpur,"Anil Advani, Pramod Jain, Amrendra Reddy and Manish Satnaliwala.",Seed/ Angel Funding,0.0
05/06/2018,Zoctr,Healthcare,Mumbai,NB Ventures and Others,Seed/ Angel Funding,0.0
07/06/2018,Annapurna Finance,Finance,Bhubaneswar,Oman India Joint Investment Fund (OIJIF),Private Equity,16.951004773893423
07/06/2018,Meesho,Consumer Internet,Bengaluru,"Sequoia Capital India, SAIF Partners, Y Combinator and Venture Highway",Private Equity,16.25785759333348
